id,Title,Type,Date,Source,link,scanned
0,Accountability for Perpetrators: UN Officials Welcome ICC Sentence Against Bosco Ntaganda for War Crimes and Crimes Against Humanity,Official Statement,2019-11-07 00:00:00,"UN Special Representative of the Secretary-General for Children and Armed Conflict, UN Special Adviser on the Prevention of Genocide and UN Special Advisor on the Responsibility to Protect",https://www.globalr2p.org/wp-content/uploads/2019/11/2019-SAStatement-Ntaganda-DRC.pdf,False
1,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in northeast Syrian Arab Republic, 2019",Official Statement,2019-10-15 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/10/2019-Oct-SAStatement-Syria.pdf,False
2,Statement delivered on behalf of the Group of Friends of R2P at the 2nd Intersessional seminar on the contribution of the Human Rights Council to the prevention of human rights violations,Official Statement,2019-10-08 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/10/2019-2nd-Intersessional-Seminar-GOF-Contributions-of-the-HRC.pdf,False
3,Statement delivered on behalf of the Group of Friends of R2P in Geneva on Item 2 at the 42nd session of the UN Human Rights Council,Official Statement,2019-09-10 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/10/2019-Sept-HRC41-GOF-Item2.pdf,False
4,Statement delivered on behalf of the Group of Friends of R2P at the 2019 UN General Assembly Debate on R2P,Official Statement,2019-06-27 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-R2PDebate-GOF.pdf,False
5,Statement delivered on behalf of the Group of Friends of R2P in Geneva at the 41st Session of the Human Rights Council,Official Statement,2019-06-27 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-HRC41-GOF-IDWomen.pdf,False
6,Statement delivered on behalf of the Group of Friends of R2P on Item 2 at the 41st session of the Human Rights Council,Official Statement,2019-06-25 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-HRC41-GOF-Item2.pdf,False
7,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect and the Special Representative of the Secretary-General for Children and Armed Conflict on Attacks Against Civilians in Central Mali, 2019",Official Statement,2019-06-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect and the Office of the Special Representative of the Secretary-General for Children and Armed Conflict,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-Jun-SAStatement-Mali.pdf,False
8,"Statement by the UN Special Advisers on the Prevention of Genocide the Responsibility to Protect on attacks against religious minorities in Sri Lanka, 2019",Official Statement,2019-05-13 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-May-SAStatement-Sri-Lanka.pdf,False
9,"Statement delivered on behalf of the Group of Friends of R2P at the UN Security Council Open Debate on Women, Peace and Security: Sexual Violence in Conflict",Official Statement,2019-04-23 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-UNSC-GOF-WPS.pdf,False
