id,Title,Type,Date,Source,link,scanned,multilingual
0,Accountability for Perpetrators: UN Officials Welcome ICC Sentence Against Bosco Ntaganda for War Crimes and Crimes Against Humanity,Official Statement,2019-11-07 00:00:00,"UN Special Representative of the Secretary-General for Children and Armed Conflict, UN Special Adviser on the Prevention of Genocide and UN Special Advisor on the Responsibility to Protect",https://www.globalr2p.org/wp-content/uploads/2019/11/2019-SAStatement-Ntaganda-DRC.pdf,False,True
1,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in northeast Syrian Arab Republic, 2019",Official Statement,2019-10-15 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/10/2019-Oct-SAStatement-Syria.pdf,False,False
2,Statement delivered on behalf of the Group of Friends of R2P at the 2nd Intersessional seminar on the contribution of the Human Rights Council to the prevention of human rights violations,Official Statement,2019-10-08 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/10/2019-2nd-Intersessional-Seminar-GOF-Contributions-of-the-HRC.pdf,False,False
3,Statement delivered on behalf of the Group of Friends of R2P in Geneva on Item 2 at the 42nd session of the UN Human Rights Council,Official Statement,2019-09-10 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/10/2019-Sept-HRC41-GOF-Item2.pdf,False,False
4,Statement delivered on behalf of the Group of Friends of R2P at the 2019 UN General Assembly Debate on R2P,Official Statement,2019-06-27 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-R2PDebate-GOF.pdf,False,False
5,Statement delivered on behalf of the Group of Friends of R2P in Geneva at the 41st Session of the Human Rights Council,Official Statement,2019-06-27 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-HRC41-GOF-IDWomen.pdf,False,False
6,Statement delivered on behalf of the Group of Friends of R2P on Item 2 at the 41st session of the Human Rights Council,Official Statement,2019-06-25 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-HRC41-GOF-Item2.pdf,False,False
7,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect and the Special Representative of the Secretary-General for Children and Armed Conflict on Attacks Against Civilians in Central Mali, 2019",Official Statement,2019-06-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect and the Office of the Special Representative of the Secretary-General for Children and Armed Conflict,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-Jun-SAStatement-Mali.pdf,False,True
8,"Statement by the UN Special Advisers on the Prevention of Genocide the Responsibility to Protect on attacks against religious minorities in Sri Lanka, 2019",Official Statement,2019-05-13 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-May-SAStatement-Sri-Lanka.pdf,False,False
9,"Statement delivered on behalf of the Group of Friends of R2P at the UN Security Council Open Debate on Women, Peace and Security: Sexual Violence in Conflict",Official Statement,2019-04-23 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-UNSC-GOF-WPS.pdf,False,False
10,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in central Mali, 2019",Official Statement,2019-03-27 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-Mar-SAStatement-Mali.pdf,False,True
11,"Statement by the UN Special Adviser on the Prevention of Genocide on the appeal judgement of Radovan Karadzic for genocide, war crimes and crimes against humanity, 2019",Official Statement,2019-03-20 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/03/2019-Mar-SAStatement-Karadzic.pdf,False,False
12,"Statement by the UN Special Adviser on the Prevention of Genocide on the draft reforms to the Law on National Reconciliation, Guatemala, 2019",Official Statement,2019-03-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-Mar-SAStatement-Guatemala.pdf,False,False
13,Statement delivered on behalf of the Group of Friends of R2P on Item 2 at the 40th session of the Human Rights Council,Official Statement,2019-03-07 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2019-HRC40-GOF-Item2.pdf,False,False
14,"UN Special Representatives on Sexual Violence in Conflict, Children and Armed Conflict and Special Adviser on the Prevention of Genocide urge the Government of South Sudan to ensure accountability for sexual violence against women and girls in Bentiu, 2018",Official Statement,2018-12-03 00:00:00,"Special Representative of the Secretary-General on Sexual Violence in Conflict, Special Representative of the Secretary-General for Children and Armed Conflict and the Special Adviser on the Prevention of Genocide",https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Dec-SAStatement-South-Sudan.pdf,False,False
15,"Statement by the UN Special Adviser on the Prevention of Genocide on the conviction of NUON Chea and KHIEU Samphan for the crime of genocide, crimes against humanity and grave breaches of the 1949 Geneva Conventions by the Extraordinary Chambers in the Courts of Cambodia, 2018",Official Statement,2018-11-16 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Nov-SAStatement-Cambodai.pdf,False,False
16,Statement delivered on behalf of the UN Group of Friends of R2P at the High-Level Panel discussion to commemorate the 70th anniversary of the Genocide Convention at the 39th session of the Human Rights Council,Official Statement,2018-09-13 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC39-GOD-HLPD-on-Genocide.pdf,False,False
17,Statement delivered on behalf of the UN Group of Friends of R2P on Item 2 at the 39th session of the Human Rights Council,Official Statement,2018-09-12 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC39-GOF-Item2.pdf,False,False
18,Statement by the UN Special Adviser on the Prevention of Genocide on the decision of the International Criminal Court Pre-Trial Chamber on the jurisdiction over the crime of deportation of the Rohingya population from Myanmar,Official Statement,2018-09-07 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Sep-SAStatement-Myanmar.pdf,False,False
19,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in Idlib, Syrian Arab Republic, 2018",Official Statement,2018-09-06 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Sep-SAStatement-Syria.pdf,False,False
20,"Statement by the UN Special Adviser on the Prevention of Genocide on the decision by the Republika Srpska National Assembly to revoke endorsement of the 2004 Srebrenica Commission Report, 2018",Official Statement,2018-08-16 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-Aug-SAStatement-Republika-Srpska.pdf,False,False
21,Statement delivered on behalf of the UN Group of Friends of R2P at the Panel Discussion on Human Rights and the Sustainable Development Goals at the 38th session of the Human Rights Council,Official Statement,2018-07-04 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC38-GOF-Item10-1.pdf,False,False
22,Statement delivered on behalf of the Group of Friends of R2P on Item 10 at the 38th session of the Human Rights Council,Official Statement,2018-07-04 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC38-GOF-Item10.pdf,False,False
23,Statement delivered on behalf of the Group of Friends of R2P at the 2018 UN General Assembly Debate on R2P,Official Statement,2018-06-25 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-R2PDebate-GOF.pdf,False,False
24,"Statement by the UN Secretary-General at the 2018 General Assembly debate on the Responsibility to Protect and the Prevention of genocide, war crimes, ethnic cleansing and crimes against humanity",Official Statement,2018-06-25 00:00:00,UN Secretary-General,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-R2PDebate-UNSG.pdf,False,False
25,Statement delivered on behalf of the Group of Friends of R2P on Item 2 at the 38th session of the Human Rights Council,Official Statement,2018-06-19 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC38-GOF-Item2.pdf,False,False
26,"Statement by the UN Special Adviser on the Prevention of Genocide, on the situation in Hudaydah, Yemen, June 2018",Official Statement,2018-06-14 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Jun-SAStatement-Yemen.pdf,False,False
27,Statement delivered on behalf of the Group of Friends of R2P at the UN Security Council Open Debate on the Protection of Civilians,Official Statement,2018-05-22 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-UNSC-GOF-POC.pdf,False,False
28,"United Nations Officials condemn targeted and widespread sexual violence in South Sudan and call for the immediate cessation of the attacks against civilians, May 2018",Official Statement,2018-05-11 00:00:00,"Special Representative of the Secretary-General on Sexual Violence in Conflict, Special Representative of the Secretary-General for Children and Armed Conflict and the Special Adviser on the Prevention of Genocide",https://www.globalr2p.org/wp-content/uploads/2019/06/2018-May-SAStatement-South-Sudan.pdf,False,False
29,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to Bangladesh to assess the situation of Rohingya refugees from Myanmar, March 2018",Official Statement,2018-03-13 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Mar-SAStatement-Myanmar.pdf,False,False
30,Statement on behalf of the Group of Friends of R2P at on Item 2 at the 37th Session of the Human Rights Council,Official Statement,2018-03-08 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC37-GOF-Item2.pdf,False,False
31,Statement on behalf of the Group of Friends of R2P at 37th Session of the Human Rights Council,Official Statement,2018-03-02 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2018-HRC37-GOF-IDSRs.pdf,False,False
32,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to the region of the Western Balkans, February 2018",Official Statement,2018-02-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Feb-SAStatement-Western-Balkans.pdf,False,False
